covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),HR,HR_95CI_lower,HR_95CI_upper,HR_CI,P_value
Age,0.024919603322664748,1.0252326919090549,0.03339630962968291,-0.04053596076806195,0.09037516741339144,0.9602746316771975,1.0945848592534948,0.0,0.7461783532069065,0.4555596826771128,1.134288021624397,1.0252326919090549,0.960273476675456,1.0945861758028421,1.03 (0.96-1.09),0.456
Gender_Male,0.6687325172898358,1.9517619277107385,1.2043647985808787,-1.691779112176523,3.0292441467561946,0.18419153491224446,20.68159442982036,0.0,0.555257441995825,0.5787185838438769,0.7890661221306293,1.9517619277107385,0.1841835456391471,20.682491528990727,1.95 (0.18-20.68),0.579
MGMT_Methylated,-1.141892071954265,0.3192144733196663,0.8464700020573392,-2.800942789980195,0.5171586460716655,0.060752758524590375,1.6772551971530247,0.0,-1.3490047717921538,0.17733543339707153,2.4954472649181385,0.3192144733196663,0.06075090644383331,1.6773063307452165,0.32 (0.06-1.68),0.177
RT_Treated,-1.2287824314464306,0.29264868067779803,0.9817142604629142,-3.1529070250631164,0.6953421621702551,0.04272773555216528,2.0043947846919243,0.0,-1.2516701457173645,0.21069008284712964,2.2468056865887394,0.29264868067779803,0.04272622485899952,2.0044656551119697,0.29 (0.04-2.00),0.211
TMZ_Treated,-1.053247516147088,0.34880316390946786,1.4066823191205644,-3.8102941993126733,1.7037991670184973,0.022141663936415475,5.49478338676977,0.0,-0.7487458268513404,0.4540104168855751,1.1392026955721577,0.34880316390946786,0.022140542216971943,5.495061772244821,0.35 (0.02-5.50),0.454
APOE_e2_carrier,-0.46386964752317367,0.6288455206958957,1.0964466301808804,-2.612865553648007,1.68512625860166,0.07332412820544047,5.393131818646717,0.0,-0.4230663260341721,0.672246870117974,0.5729369617483648,0.6288455206958957,0.0733212327639341,5.393344792394273,0.63 (0.07-5.39),0.672
APOE_e4_carrier,-17.172396476886778,3.484359595490714e-08,3417.494032080483,-6715.337616735206,6680.992823781432,0.0,inf,0.0,-0.005024850465190911,0.9959907662650936,0.005795727619416851,3.484359595490714e-08,0.0,inf,0.00 (0.00-inf),0.996
