covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),HR,HR_95CI_lower,HR_95CI_upper,HR_CI,P_value
Age,0.04222320535735298,1.043127284366338,0.031766685245541916,-0.0200383536321291,0.10448476434683507,0.9801610798483532,1.1101384800525234,0.0,1.3291662328312495,0.18379313277105222,2.4438452319722392,1.043127284366338,0.9801599584547602,1.1101397501535597,1.04 (0.98-1.11),0.184
Gender_Male,0.3038815408641638,1.3551085215970382,0.7486718119506658,-1.1634882467994851,1.7712513285278126,0.31239456872864224,5.878204325952949,0.0,0.4058941929073033,0.6848203450589126,0.5462025320507612,1.3551085215970382,0.3123861455101345,5.878362826578479,1.36 (0.31-5.88),0.685
IDH_Mutant,-0.6657103234884066,0.5139083568505086,0.9084984446961201,-2.446334555103456,1.1149139081266428,0.08661047129269164,3.049305647446293,0.0,-0.7327589027530778,0.46370549118904647,1.108719283714499,0.5139083568505086,0.0866076374453557,3.049405422326898,0.51 (0.09-3.05),0.464
MGMT_Methylated,-1.328455296280121,0.2648861160075735,0.6859339562081576,-2.6728611462211846,0.015950553660942335,0.06905436775127026,1.0160784428047567,0.0,-1.9367102098630908,0.052780777011851056,4.243843600328943,0.2648861160075735,0.06905266183757085,1.01610354454724,0.26 (0.07-1.02),0.053
RT_Treated,-1.0426500489395598,0.35251924977165344,0.9155861285573137,-2.8371658856563546,0.751865787777235,0.058591485847711,2.120953576472993,0.0,-1.138778773966858,0.25479543711804586,1.972588652874428,0.35251924977165344,0.0585895538103476,2.1210235166123064,0.35 (0.06-2.12),0.255
TMZ_Treated,0.4059345011086896,1.500704254773988,0.9368441011057854,-1.4302461961874509,2.24211519840483,0.23925001255144354,9.413221074805593,0.0,0.43329994887041806,0.6647968752772067,0.5890144938150143,1.500704254773988,0.23924194018377085,9.413538690443724,1.50 (0.24-9.41),0.665
APOE_e2_carrier,0.6669203007807255,1.9482281155070202,0.6525204320708089,-0.6119962452545747,1.9458368468160256,0.5422672893857848,6.999486903130792,0.0,1.0220680732773653,0.30674868269012634,1.7048709465346434,1.9482281155070202,0.5422545458076781,6.999651398769874,1.95 (0.54-7.00),0.307
APOE_e4_carrier,-18.562062168229073,8.681581119579517e-09,2312.4742842846317,-4550.928374541146,4513.804250204687,0.0,inf,0.0,-0.0080269269562802,0.9935955076862001,0.009269444128376686,8.681581119579517e-09,0.0,inf,0.00 (0.00-inf),0.994
